date,t,time_period,initial_purchase_kwh,final_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,actual_load_kwh,actual_pv_kwh,soc_before_kwh,soc_after_kwh,surplus_kwh,price_yuan_per_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,0,0:00-0:10,537.6216771686668,537.6216771686668,0.0,0.0,0.0,422.0303666666667,0.0,10800.0,10800.0,115.59131050200011,0.4248,228.38168846124967,0.0,0.0,228.38168846124967
2025-02-01,1,0:10-0:20,528.4938912066266,528.4938912066266,0.0,0.0,0.0,415.4073166666667,0.0,10800.0,10800.0,113.08657453995988,0.4245,224.34565681721298,0.0,0.0,224.34565681721298
2025-02-01,2,0:20-0:30,525.0241974356828,525.0241974356828,0.0,0.0,0.0,410.7166666666667,0.0,10800.0,10800.0,114.30753076901613,0.4269,224.132829885293,0.0,0.0,224.132829885293
2025-02-01,3,0:30-0:40,536.6331623607107,536.6331623607107,0.0,0.0,0.0,430.29479999999995,0.0,10800.0,10800.0,106.33836236071073,0.4272,229.2496869604956,0.0,0.0,229.2496869604956
2025-02-01,4,0:40-0:50,550.9851258346655,550.9851258346655,0.0,0.0,0.0,424.4105833333333,0.0,10800.0,10800.0,126.57454250133219,0.4271,235.32574724398563,0.0,0.0,235.32574724398563
2025-02-01,5,0:50-1:00,559.8345351308564,559.8345351308564,0.0,0.0,0.0,406.0516666666666,0.0,10800.0,10800.0,153.78286846418973,0.4285,239.88909830357196,0.0,0.0,239.88909830357196
2025-02-01,6,1:00-1:10,563.3230548541426,563.3230548541426,0.0,0.0,0.0,436.7501833333333,0.0,10800.0,10800.0,126.57287152080926,0.4311,242.84856894762086,0.0,0.0,242.84856894762086
2025-02-01,7,1:10-1:20,558.0516249708635,558.0516249708635,0.0,0.0,0.0,451.7976833333333,0.0,10800.0,10800.0,106.2539416375302,0.4302,240.0738090624655,0.0,0.0,240.0738090624655
2025-02-01,8,1:20-1:30,551.0869883458339,551.0869883458339,0.0,0.0,0.0,446.08,0.0,10800.0,10800.0,105.00698834583392,0.4279,235.81012231318232,0.0,0.0,235.81012231318232
2025-02-01,9,1:30-1:40,555.630066865565,555.630066865565,0.0,0.0,0.0,471.7663333333333,0.0,10800.0,10800.0,83.86373353223172,0.4312,239.58768483243165,0.0,0.0,239.58768483243165
2025-02-01,10,1:40-1:50,564.0315467105177,564.0315467105177,0.0,0.0,0.0,448.02596666666665,0.0,10800.0,10800.0,116.00558004385101,0.4333,244.3948691896673,0.0,0.0,244.3948691896673
2025-02-01,11,1:50-2:00,573.0827820314062,573.0827820314062,0.0,0.0,0.0,397.4033333333333,0.0,10800.0,10800.0,175.67944869807286,0.4311,247.05598733373918,0.0,0.0,247.05598733373918
2025-02-01,12,2:00-2:10,586.6305805535258,586.6305805535258,0.0,0.0,0.0,434.0906333333333,0.0,10800.0,10800.0,152.53994722019246,0.4293,251.8405082316286,0.0,0.0,251.8405082316286
2025-02-01,13,2:10-2:20,597.6429693087296,597.6429693087296,0.0,0.0,0.0,490.5609166666666,0.0,10800.0,10800.0,107.08205264206293,0.4324,258.42081992909465,0.0,0.0,258.42081992909465
2025-02-01,14,2:20-2:30,596.6197375090296,596.6197375090296,0.0,0.0,0.0,503.22,0.0,10800.0,10800.0,93.39973750902959,0.4367,260.5438393701932,0.0,0.0,260.5438393701932
2025-02-01,15,2:30-2:40,580.4426384041706,580.4426384041706,0.0,0.0,0.0,474.07281666666665,0.0,10800.0,10800.0,106.36982173750391,0.4348,252.3764591781334,0.0,0.0,252.3764591781334
2025-02-01,16,2:40-2:50,569.4385436990597,569.4385436990597,0.0,0.0,0.0,461.38439999999997,0.0,10800.0,10800.0,108.0541436990597,0.4335,246.85160869354237,0.0,0.0,246.85160869354237
2025-02-01,17,2:50-3:00,575.0716555456069,575.0716555456069,0.0,0.0,0.0,476.94166666666666,0.0,10800.0,10800.0,98.1299888789402,0.4357,250.5587203212209,0.0,0.0,250.5587203212209
2025-02-01,18,3:00-3:10,591.7021539775615,591.7021539775615,0.0,0.0,0.0,483.39955,0.0,10800.0,10800.0,108.30260397756149,0.4374,258.8105221497854,0.0,0.0,258.8105221497854
2025-02-01,19,3:10-3:20,604.4203929528024,604.4203929528024,0.0,0.0,0.0,486.6019166666666,0.0,10800.0,10800.0,117.81847628613582,0.4371,264.19215375966996,0.0,0.0,264.19215375966996
2025-02-01,20,3:20-3:30,602.2300191827488,602.2300191827488,0.0,0.0,0.0,498.84833333333336,0.0,10800.0,10800.0,103.38168584941548,0.4356,262.33139635600537,0.0,0.0,262.33139635600537
2025-02-01,21,3:30-3:40,588.5779688667028,588.5779688667028,0.0,0.0,0.0,518.3097333333333,0.0,10800.0,10800.0,70.26823553336953,0.4353,256.2079898476757,0.0,0.0,256.2079898476757
2025-02-01,22,3:40-3:50,598.1435120360151,598.1435120360151,0.0,0.0,0.0,509.13346666666666,0.0,10800.0,10800.0,89.0100453693484,0.436,260.7905712477026,0.0,0.0,260.7905712477026
2025-02-01,23,3:50-4:00,621.8150185659415,621.8150185659415,0.0,0.0,0.0,483.6166666666666,0.0,10800.0,10800.0,138.19835189927488,0.4378,272.2306151281692,0.0,0.0,272.2306151281692
2025-02-01,24,4:00-4:10,616.327902571122,616.327902571122,0.0,0.0,0.0,491.1868,0.0,10800.0,10800.0,125.14110257112196,0.4401,271.2459099215508,0.0,0.0,271.2459099215508
2025-02-01,25,4:10-4:20,606.9875895099985,606.9875895099985,0.0,0.0,0.0,504.64528333333334,0.0,10800.0,10800.0,102.3423061766652,0.4389,266.40685303593835,0.0,0.0,266.40685303593835
2025-02-01,26,4:20-4:30,615.2585417058217,615.2585417058217,0.0,0.0,0.0,505.57833333333326,0.0,10800.0,10800.0,109.68020837248844,0.4364,268.4988276004206,0.0,0.0,268.4988276004206
2025-02-01,27,4:30-4:40,634.597171337269,634.597171337269,0.0,0.0,0.0,503.23096666666663,0.0,10800.0,10800.0,131.36620467060231,0.4393,278.77853736846225,0.0,0.0,278.77853736846225
2025-02-01,28,4:40-4:50,634.5238115159106,634.5238115159106,0.0,0.0,0.0,502.84698333333336,0.00023333333333333333,10800.0,10800.0,131.6770615159105,0.4422,280.5864294523356,0.0,0.0,280.5864294523356
2025-02-01,29,4:50-5:00,621.9685725361429,621.9685725361429,0.0,0.0,0.0,499.64166666666665,0.0,10800.0,10800.0,122.32690586947626,0.4395,273.3551876296348,0.0,0.0,273.3551876296348
2025-02-01,30,5:00-5:10,631.8217859457332,631.8217859457332,0.0,0.0,0.0,488.78358333333335,0.0,10800.0,10800.0,143.0382026123998,0.4333,273.7683798502862,0.0,0.0,273.7683798502862
2025-02-01,31,5:10-5:20,639.452122538231,639.452122538231,0.0,0.0,0.0,498.51875,0.0033166666666666665,10800.0,10800.0,140.93668920489773,0.4439,283.8527971947208,0.0,0.0,283.8527971947208
2025-02-01,32,5:20-5:30,633.6613385095791,633.6613385095791,0.0,0.0,0.0,529.2233333333334,0.0,10800.0,10800.0,104.43800517624572,0.4301,272.53774169297,0.0,0.0,272.53774169297
2025-02-01,33,5:30-5:40,635.4490882550886,635.4490882550886,0.0,0.0,0.0,547.4103166666666,0.0,10800.0,10800.0,88.03877158842192,0.3713,235.9422464691144,0.0,0.0,235.9422464691144
2025-02-01,34,5:40-5:50,676.810541171494,676.810541171494,0.0,0.0,0.0,531.2274,0.04623333333333333,10800.0,10800.0,145.6293745048274,0.5708,386.32345690068877,0.0,0.0,386.32345690068877
2025-02-01,35,5:50-6:00,0.0,0.0,0.0,731.9891861916153,0.0,510.98333333333335,0.0,10800.0,9986.678682009317,221.00585285828197,0.9099,0.0,0.0,0.0,0.0
2025-02-01,36,6:00-6:10,0.0,0.0,0.0,562.6215361787471,0.0,535.1871833333332,0.0,9986.678682009317,9361.54364181071,27.434352845413855,0.9368,0.0,0.0,0.0,0.0
2025-02-01,37,6:10-6:20,0.0,0.0,0.0,559.8035609876084,0.0,533.9993499999999,0.6440166666666667,9361.54364181071,8739.53968515781,26.448227654275115,0.8758,0.0,0.0,0.0,0.0
2025-02-01,38,6:20-6:30,0.0,0.0,0.0,563.1215419252737,0.0,504.52,0.0,8739.53968515781,8113.849083018617,58.60154192527375,0.8759,0.0,0.0,0.0,0.0
2025-02-01,39,6:30-6:40,0.0,0.0,0.0,558.0139448364404,0.0,519.5536833333333,0.0,8113.849083018617,7493.833588755906,38.46026150310706,0.8601,0.0,0.0,0.0,0.0
2025-02-01,40,6:40-6:50,0.0,0.0,0.0,579.9789618791277,0.0,566.415,14.934916666666666,7493.833588755906,6849.4125200013195,28.49887854579447,0.8442,0.0,0.0,0.0,0.0
2025-02-01,41,6:50-7:00,0.0,0.0,0.0,614.8155723870082,0.0,608.7916666666666,56.75,6849.4125200013195,6166.2841062379775,62.77390572034153,0.8334,0.0,0.0,0.0,0.0
2025-02-01,42,7:00-7:10,0.0,0.0,0.0,575.2963240604304,0.0,617.2140499999999,102.656,6166.2841062379775,5527.065968393054,60.7382740604304,0.8092,0.0,0.0,0.0,0.0
