紧急购电时段,紧急购电量/kWh
0:30-0:50,45.75510190807813
1:00-1:10,4.970798108999475
1:30-1:50,19.58906648973789
2:00-2:30,36.83483715971613
3:40-4:00,22.796318219933028
4:20-4:30,5.177148170725445
4:50-5:20,54.59348730271348
6:10-7:10,41.19633824770784
7:40-7:50,4.728311613216647
9:30-9:50,45.41833324781078
10:00-10:20,60.47580634647875
10:30-11:10,249.84052643695895
11:40-11:50,7.798529322040849
14:20-15:20,262.26716352815254
16:00-16:20,53.60821057836665
17:00-17:20,57.77226656732651
18:10-18:50,111.60441313416857
19:10-19:30,13.238768811091518
19:50-20:30,120.73634406071926
20:40-21:10,110.59171061768473
21:20-22:00,62.790046630750794
22:20-22:30,51.34002224861888
23:30-23:40,13.20174747989904
