date,soc_start,soc_end,initial_grid,final_grid,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,surplus_kwh,max_charge_discharge_overlap,stage_objectives
2025-01-01,6000.0,1200.0000000000002,72838.10595082304,91057.53765377228,45888.04234434617,21823.15521309644,33174.559594789804,100885.75715223243,8691.070725925923,8185.197209259259,0.0,"[50476.84657878079, 14163.597095368019, 21796.47710832656, 7576.414770506995]"
2025-01-02,1200.0000000000002,1199.9999999999995,111203.63114999999,111614.2641895919,73431.630220195,511.5283540600933,3642.840412201168,77585.99898645627,1070.819200925928,14969.880640222274,0.0,"[106293.392988607, 4633.627373986765, 485.1040190473386, 255.32989744663027]"
2025-01-03,1199.9999999999995,10799.999999999996,108701.61904649122,100604.29578112221,71484.26318745746,2223.3775891830323,33393.80177750542,107101.4425541459,8029.059316983431,48070.11928639424,0.0,"[94029.79140072654, 3685.837576743368, 1954.165765521012, 2683.1296430501925]"
2025-01-04,10799.999999999996,8643.042003273062,79670.48733474784,78475.84134024232,51987.296117737584,450.72786231554954,23194.353794678245,75632.37777473137,5551.44830503109,37491.98964128697,0.0,"[67973.30110403744, 3002.2596989974986, 13204.131102148056, 15573.18521064036]"
2025-01-05,8643.042003273062,1200.0000000000002,62643.09661948275,85327.80391484522,38192.5907183662,28138.773108984096,37118.32387620505,103449.68770355533,9900.79094077803,7650.597189490646,0.0,"[43651.617977667935, 17943.61221401434, 39875.51146756582, 31513.460373697995]"
2025-01-06,1200.0000000000002,1200.0000000000007,97091.35916938385,102947.112066202,62031.97158466887,7911.237841112332,5459.093413015912,75402.30283879711,1935.7240512057647,9488.257893925065,0.0,"[79210.84741963798, 5734.020658751777, 18787.24365452222, 18726.9963963704]"
2025-01-07,1200.0000000000007,1200.0000000000011,95420.90911932796,102629.9520694412,60634.267916422265,9561.337648483715,5530.285898961553,75725.89146386753,1825.8035700196524,7041.147801429834,0.0,"[80924.41142750032, 6664.738137644854, 18378.579061190896, 6978.396230444719]"
2025-01-08,1200.0000000000011,1200.0000000000014,103147.32479173664,107652.30052378618,66253.58425876562,6198.6688648821255,6676.056955510188,79128.31007915793,2129.738601262764,15498.121911357299,0.0,"[91518.35645993496, 6287.672433682109, 14642.313134843303, 18943.668604191684]"
2025-01-09,1200.0000000000014,1200.0000000000018,97500.8372233331,101871.11161245842,62046.446802215694,5923.788746753566,5906.753047053078,73876.98859602233,1816.3439462775057,7670.4474634716535,0.0,"[84621.67970386459, 4620.438538344539, 8145.4246394330785, 4138.423885614051]"
2025-01-10,1200.0000000000018,10799.999999999998,113000.4978933704,102741.55535621787,74705.59481970055,2793.3845273822694,34755.096783088695,112254.07613017151,8256.215033207867,50233.358618838814,0.0,"[101119.65895462628, 4813.096865835545, 2465.633237658426, 1223.6810387561068]"
