紧急购电时段,紧急购电量/kWh
0:30-0:50,29.425421154206333
1:00-1:10,2.2271543638994444
1:40-1:50,6.137885241091567
2:00-2:20,18.658570194220033
3:40-3:50,0.12999457259684277
4:50-5:10,21.593522587273473
6:10-6:30,37.114151432113204
6:50-7:10,27.76392752748876
7:40-8:00,23.50409161842174
9:30-11:10,560.8933525880443
11:30-11:40,1.3300658769294387
12:50-13:10,20.40922059667696
14:20-15:20,284.4497679431357
15:50-16:20,97.57696126542533
16:30-16:50,8.615243296615063
17:00-17:20,27.06832005637503
18:10-18:40,61.90302175523249
20:00-20:30,56.50180881581889
20:50-21:10,79.25890055420587
21:20-21:30,5.369673863042635
21:40-22:00,5.110900864741097
22:20-22:30,39.20784065259568
23:30-23:40,9.927942819758982
