date,stage,training_last_date,selected,load_old_mae_kw,load_calendar_mae_kw,legacy_remaining_mae,legacy_execution_mae,calendar_remaining_mae,calendar_execution_mae,calendar_decay_remaining_mae,calendar_decay_execution_mae,adaptive_remaining_mae,adaptive_execution_mae
2025-02-01,0,2025-01-31,calendar_decay,716.8649575509066,198.85345676532677,0.10118207366117125,0.02452715702280886,0.060142314732027406,0.02104981920535457,0.06390799727306765,0.022904930943908657,0.06390799727306765,0.022904930943908657
2025-02-01,1,2025-01-31,calendar,846.9824286075482,97.96494549548297,0.1286905002539924,0.14016020421690023,0.07234824469586434,0.0638433255007478,0.07574672316773587,0.06693730519023251,0.07234824469586434,0.0638433255007478
2025-02-01,2,2025-01-31,calendar_decay,165.87231816292368,114.90913031883099,0.09288928521813587,0.0644144070211212,0.07689449227639442,0.06302410520876411,0.0775268817139413,0.06386930852182833,0.0775268817139413,0.06386930852182833
2025-02-01,3,2025-01-31,calendar_decay,849.7028123771149,146.34363104613973,0.12036318137323797,0.12036318137323797,0.09277786950994485,0.09277786950994485,0.09170771621935574,0.09170771621935574,0.09170771621935574,0.09170771621935574
2025-02-02,0,2025-02-01,calendar_decay,533.9004970328751,157.3007988898377,0.06056783169003709,0.03444886178244496,0.05708545729296578,0.028666273245503613,0.062009558217554314,0.03159530097302251,0.062009558217554314,0.03159530097302251
2025-02-02,1,2025-02-01,calendar_decay,964.0698026375934,111.58818444531371,0.07705304977761689,0.0863444739200117,0.06703197746119917,0.06411648191575074,0.07088245127680798,0.06373880146773359,0.07088245127680798,0.06373880146773359
2025-02-02,2,2025-02-01,calendar_decay,272.2328492684654,116.4203885041454,0.08069511169829259,0.05261915883068047,0.07443056507787717,0.06310684244517038,0.0769693844931884,0.06494572267963117,0.0769693844931884,0.06494572267963117
2025-02-02,3,2025-02-01,calendar_decay,929.634225740208,114.58043521783196,0.1216412155561721,0.1216412155561721,0.08589508244512353,0.08589508244512353,0.08172631282614015,0.08172631282614015,0.08172631282614015,0.08172631282614015
2025-02-03,0,2025-02-02,calendar_decay,153.06420197085689,123.38659854487415,0.07309877830805427,0.03025937772608316,0.06624829286447473,0.04292719804352963,0.05537724365984327,0.03610384305923997,0.05537724365984327,0.03610384305923997
2025-02-03,1,2025-02-02,calendar_decay,447.2265951964397,144.1296283825482,0.0845018683436013,0.07285237485980142,0.06294117810640153,0.057694392505619405,0.06199347750211102,0.056780175301032354,0.06199347750211102,0.056780175301032354
2025-02-03,2,2025-02-02,calendar_decay,172.713225821729,93.14314325525879,0.08064576809504893,0.06688037012420552,0.06489598709371405,0.056515222141801956,0.06533101223701106,0.056435960003312385,0.06533101223701106,0.056435960003312385
2025-02-03,3,2025-02-02,calendar_decay,312.5166615109365,96.83202494387291,0.10468917667095928,0.10468917667095928,0.07732624572411353,0.07732624572411353,0.07696100651142593,0.07696100651142593,0.07696100651142593,0.07696100651142593
2025-02-04,0,2025-02-03,calendar_decay,125.4165536007796,123.2623440638389,0.05843639299411902,0.0319742488140407,0.05816632909054345,0.04288328665125584,0.04789096332939278,0.03424535422289292,0.04789096332939278,0.03424535422289292
2025-02-04,1,2025-02-03,calendar_decay,356.7272922503789,127.06695071623733,0.05611797148028101,0.060387273880378116,0.05235225563747646,0.054589063335222496,0.05249547546149602,0.05456049658909123,0.05249547546149602,0.05456049658909123
2025-02-04,2,2025-02-03,calendar_decay,149.88140064412121,117.36992640431276,0.051864392951020404,0.039959490276358166,0.05147203851961075,0.04094843497857422,0.05144905557120744,0.040573123874883425,0.05144905557120744,0.040573123874883425
2025-02-04,3,2025-02-03,calendar_decay,292.00058205794267,137.15465066494446,0.06588778958122593,0.06588778958122593,0.06378689996937972,0.06378689996937972,0.0636065071394506,0.0636065071394506,0.0636065071394506,0.0636065071394506
2025-02-05,0,2025-02-04,calendar_decay,185.36900550607496,112.5134902795727,0.04901322729942952,0.04228721314184562,0.05943130244346865,0.03363193226403284,0.048716687739919086,0.028880734031948154,0.048716687739919086,0.028880734031948154
2025-02-05,1,2025-02-04,calendar_decay,269.60927518593417,127.68704038303696,0.041558781366435774,0.04268412290311551,0.05574958615227596,0.050393625449756084,0.05449972695922092,0.05034062857755183,0.05449972695922092,0.05034062857755183
2025-02-05,2,2025-02-04,calendar_decay,150.91548483568184,128.7356158954215,0.05166480360205724,0.03417372785868424,0.05683397680073576,0.04614439080345285,0.05627924393456081,0.04599284634849061,0.05627924393456081,0.04599284634849061
2025-02-05,3,2025-02-04,calendar_decay,217.26668359529197,101.52451562586066,0.05768668161860485,0.05768668161860485,0.05720579783335105,0.05720579783335105,0.058913251488668675,0.058913251488668675,0.058913251488668675,0.058913251488668675
2025-02-06,0,2025-02-05,calendar_decay,165.38719753576137,105.20572003243777,0.03405211886423222,0.025712761377856008,0.04675933595803316,0.029689847016275073,0.04492664904158447,0.02936782229573326,0.04492664904158447,0.02936782229573326
2025-02-06,1,2025-02-05,calendar_decay,309.3249380341326,124.49124469987781,0.03703966620022973,0.03574093103058721,0.04863695464280847,0.04497827208706359,0.04931155472270932,0.045481504065394605,0.04931155472270932,0.045481504065394605
2025-02-06,2,2025-02-05,calendar_decay,145.08874162496306,107.24115869898999,0.03762866123933199,0.036011172267494486,0.04973527103588317,0.04397117630120281,0.05099491371525435,0.04136114292590987,0.05099491371525435,0.04136114292590987
2025-02-06,3,2025-02-05,calendar_decay,298.20156805096394,114.4507706132531,0.05382694922788525,0.05382694922788525,0.06709532831020115,0.06709532831020115,0.06668761692817178,0.06668761692817178,0.06668761692817178,0.06668761692817178
2025-02-07,0,2025-02-06,calendar_decay,1013.6224388137705,102.7382010476706,0.1192224321186229,0.03145234827399993,0.052416234948799434,0.04088668183492691,0.046554704659395776,0.03775053080110103,0.046554704659395776,0.03775053080110103
2025-02-07,1,2025-02-06,calendar_decay,1555.4256790329878,130.7430237869602,0.13765840550801278,0.16595515349146342,0.04421772831633451,0.04169019493515709,0.04501038470663392,0.04288715875823864,0.04501038470663392,0.04288715875823864
2025-02-07,2,2025-02-06,calendar_decay,287.6809235727439,121.12296339505515,0.09543056550995417,0.0506293636023761,0.04521115368323228,0.049279501819821624,0.04326452326661902,0.048626900218883676,0.04326452326661902,0.048626900218883676
2025-02-07,3,2025-02-06,calendar_decay,1425.5342903751089,124.43159203026815,0.1787835022639472,0.1787835022639472,0.050328023069879886,0.050328023069879886,0.04192392911788825,0.04192392911788825,0.04192392911788825,0.04192392911788825
2025-02-08,0,2025-02-07,calendar_decay,629.578322786951,109.4282882162363,0.0953589380403247,0.03528128945728483,0.04217032461503516,0.040537893582266005,0.034003330429412754,0.035510147300506646,0.034003330429412754,0.035510147300506646
2025-02-08,1,2025-02-07,calendar_decay,820.4629621411611,110.36184691015372,0.09048715035791859,0.11508598515813827,0.029571471379742278,0.03100591352123855,0.030240241594353397,0.03190778170195428,0.030240241594353397,0.03190778170195428
2025-02-08,2,2025-02-07,calendar_decay,159.1741035653883,109.6215404254383,0.058392160993573555,0.04310323214039092,0.032765489317199074,0.03885582459102693,0.030100954311401435,0.03486768111854415,0.030100954311401435,0.03486768111854415
2025-02-08,3,2025-02-07,calendar_decay,746.582352817039,104.37093536292372,0.059497436401063364,0.059497436401063364,0.026761178207647833,0.026761178207647833,0.0268684037125354,0.0268684037125354,0.0268684037125354,0.0268684037125354
2025-02-09,0,2025-02-08,calendar_decay,608.6992039962777,151.64542348984668,0.09217754051514905,0.042298402440944814,0.054706935360595184,0.050423749324345,0.038956597400430656,0.04228701463221384,0.038956597400430656,0.04228701463221384
2025-02-09,1,2025-02-08,calendar_decay,1062.7420748692039,130.8920534028443,0.08092575814157653,0.1051546332537198,0.034758282780968916,0.048952513667722575,0.035518752285615865,0.0501292018539465,0.035518752285615865,0.0501292018539465
2025-02-09,2,2025-02-08,calendar_decay,187.90060514608135,174.52448422510744,0.06492034535701315,0.02951839545340943,0.02749613343753965,0.02772481705350204,0.02673079199868941,0.02767801080545067,0.02673079199868941,0.02767801080545067
2025-02-09,3,2025-02-08,calendar_decay,888.8181959560059,106.42409445438398,0.10714887123336096,0.10714887123336096,0.02751145486891518,0.02751145486891518,0.025198963198518127,0.025198963198518127,0.025198963198518127,0.025198963198518127
2025-02-10,0,2025-02-09,calendar_decay,280.7221222941096,140.6975015351846,0.03741064039188493,0.028375494537448587,0.04476787358868663,0.051781208408150245,0.03250579697681418,0.04019887443031955,0.03250579697681418,0.04019887443031955
2025-02-10,1,2025-02-09,calendar_decay,420.72382256128867,132.26801727751618,0.034649270462778534,0.04004920201055124,0.03237567767096726,0.045006912780867304,0.03237342477068714,0.04498816343359532,0.03237342477068714,0.04498816343359532
2025-02-10,2,2025-02-09,calendar_decay,138.77084708194675,136.28549132378856,0.0429116845299773,0.04604158019357796,0.04392639762716776,0.03669025937409276,0.03185457096644361,0.03142254532189196,0.03185457096644361,0.03142254532189196
2025-02-10,3,2025-02-09,calendar_decay,330.4913377770057,110.71212207559202,0.02584557263324056,0.02584557263324056,0.027803037020051727,0.027803037020051727,0.02646312647373592,0.02646312647373592,0.02646312647373592,0.02646312647373592
2025-02-11,0,2025-02-10,calendar_decay,194.7850739685702,114.80782417413512,0.04806531094485649,0.035435530739882114,0.03859398315275459,0.04053848821084374,0.03312065650614282,0.037191513519476235,0.03312065650614282,0.037191513519476235
2025-02-11,1,2025-02-10,calendar_decay,442.4677998929062,136.74304397845256,0.032181137343279695,0.033957357537256656,0.03167263176140129,0.025000085817618495,0.03050666111956412,0.025019629047765668,0.03050666111956412,0.025019629047765668
2025-02-11,2,2025-02-10,calendar_decay,131.5321396003336,142.43076876939494,0.031913466625082605,0.029768854388061334,0.03428151413930192,0.03546509931915359,0.033793560355132105,0.03396250014304035,0.033793560355132105,0.03396250014304035
2025-02-11,3,2025-02-10,calendar_decay,318.69621939591997,88.67247891496876,0.031065724665408405,0.031065724665408405,0.034793212886619795,0.034793212886619795,0.03452837299248755,0.03452837299248755,0.03452837299248755,0.03452837299248755
2025-02-12,0,2025-02-11,calendar_decay,182.4306068632496,101.28062662914019,0.04214725723397712,0.029875196913847317,0.04419631259857861,0.04168894259786544,0.0392686005262307,0.03804361856517983,0.0392686005262307,0.03804361856517983
2025-02-12,1,2025-02-11,calendar_decay,336.7417769534991,149.86956064162177,0.03734353863504451,0.03068544682157052,0.03956298660609615,0.04712685915294617,0.03951382948480251,0.04714583182616091,0.03951382948480251,0.04714583182616091
2025-02-12,2,2025-02-11,calendar_decay,136.3624081170185,99.84157594738048,0.03425934084512412,0.03884243259256163,0.04280252927523559,0.04374302254652618,0.038634056404684834,0.04068589860042698,0.038634056404684834,0.04068589860042698
2025-02-12,3,2025-02-11,calendar_decay,261.9284852257079,110.25821802171836,0.041295919991392,0.041295919991392,0.03163286965928629,0.03163286965928629,0.032300724316531956,0.032300724316531956,0.032300724316531956,0.032300724316531956
2025-02-13,0,2025-02-12,calendar_decay,232.14309228914163,179.227797083239,0.04367013331798773,0.04623592519379157,0.04498244225549846,0.03511283498237758,0.03875972652221862,0.03157767358399397,0.03875972652221862,0.03157767358399397
2025-02-13,1,2025-02-12,calendar_decay,229.74622997042223,122.8155766501994,0.030617874942839844,0.0337875000248881,0.040038151456889236,0.053160036786322105,0.04005609795367217,0.05149422643064541,0.04005609795367217,0.05149422643064541
2025-02-13,2,2025-02-12,calendar_decay,116.92896530824673,123.89554397994829,0.03239324082224412,0.030240206674939613,0.05121744474256785,0.035599678724739764,0.0388955672672086,0.03145354779623574,0.0388955672672086,0.03145354779623574
2025-02-13,3,2025-02-12,calendar_decay,248.41441252578764,86.79783806496921,0.03135202347010813,0.03135202347010813,0.04913015348200968,0.04913015348200968,0.04620881334673177,0.04620881334673177,0.04620881334673177,0.04620881334673177
2025-02-14,0,2025-02-13,calendar_decay,990.0994703014445,142.47486509122513,0.09021083133208754,0.03691724753873631,0.0369916830253076,0.03522396149450064,0.03449610413624335,0.030315156867835275,0.03449610413624335,0.030315156867835275
2025-02-14,1,2025-02-13,calendar_decay,1526.1024600869114,104.13707133068434,0.1337435514290451,0.14849587546213605,0.036589797837216755,0.03817602132138768,0.03655669477779406,0.03815720232141562,0.03655669477779406,0.03815720232141562
2025-02-14,2,2025-02-13,calendar_decay,324.3245634951659,125.16572070054261,0.08246936855210939,0.06925033647655054,0.03626554297824295,0.03968055097823161,0.035121587004703,0.040723575849753266,0.035121587004703,0.040723575849753266
2025-02-14,3,2025-02-13,calendar_decay,1363.9183214516497,63.25602721276434,0.14254268225813155,0.14254268225813155,0.04010376903029755,0.04010376903029755,0.035676071890353454,0.035676071890353454,0.035676071890353454,0.035676071890353454
2025-02-15,0,2025-02-14,calendar_decay,535.9659853991694,90.07192249163866,0.05975715385582879,0.05405503742291835,0.06089364005521349,0.056300048515927244,0.042281972837196695,0.04612361884408037,0.042281972837196695,0.04612361884408037
2025-02-15,1,2025-02-14,calendar_decay,850.5397911927257,124.14708056831606,0.09172920460226267,0.11362657142046108,0.03383618092561463,0.03834773877042842,0.03656191849517829,0.03806433769042285,0.03656191849517829,0.03806433769042285
2025-02-15,2,2025-02-14,calendar_decay,175.69872971593426,104.23395124207832,0.06592802654200465,0.03392414294477724,0.03364212850901634,0.027098151780288637,0.03578232493438854,0.028112878343771953,0.03578232493438854,0.028112878343771953
2025-02-15,3,2025-02-14,calendar_decay,760.9598746750693,96.08960757676644,0.10368096731893241,0.10368096731893241,0.0372208952259899,0.0372208952259899,0.03891467762273614,0.03891467762273614,0.03891467762273614,0.03891467762273614
2025-02-16,0,2025-02-15,calendar_decay,641.4107480437779,152.13485973956924,0.0584191269690369,0.04174445217946783,0.03839066057562224,0.023756065594657982,0.041049097785757306,0.022168821092414238,0.041049097785757306,0.022168821092414238
2025-02-16,1,2025-02-15,calendar_decay,988.3620617437589,106.93932804939176,0.09332414486779105,0.1185183846143879,0.044935928251571756,0.041003426948396475,0.0468557244599436,0.043096866503295264,0.0468557244599436,0.043096866503295264
2025-02-16,2,2025-02-15,calendar_decay,210.0735899400101,104.78997999441441,0.05596782584171735,0.03482103151551949,0.046771116274761916,0.03254063915363964,0.0466002485238708,0.032688596948437836,0.0466002485238708,0.032688596948437836
