date,period,time,price_yuan_per_kwh,predicted_load_kwh,actual_load_kwh,predicted_pv_kwh,actual_pv_kwh,planned_grid_kwh,planned_charge_kwh,planned_discharge_kwh,predicted_curtailment_kwh,purchase_margin_kwh,soc_before_kwh,soc_after_kwh,actual_emergency_kwh,actual_surplus_kwh,planned_cost_yuan,emergency_cost_yuan
2025-02-01,1,0:00-0:10,0.4248,443.44814447578887,422.0303666666667,0.0,0.0,509.8387194757888,0.0,0.0,66.39057499999996,66.39057500000013,10800.0,10800.0,0.0,87.80835280912214,216.5794880333151,0.0
2025-02-01,2,0:10-0:20,0.4245,449.404900390748,415.4073166666667,0.0,0.0,516.5486503907481,0.0,0.0,67.14375000000007,67.14375000000007,10800.0,10800.0,0.0,101.14133372408139,219.27490209087256,0.0
2025-02-01,3,0:20-0:30,0.4269,462.9344560799221,410.7166666666667,0.0,0.0,530.378293579922,0.0,0.0,67.44383749999992,67.44383749999997,10800.0,10800.0,0.0,119.6616269132553,226.41849352926872,0.0
2025-02-01,4,0:30-0:40,0.4272,451.08564687889594,430.29479999999995,0.0,0.0,518.5294843788959,0.0,0.0,67.44383749999992,67.44383749999997,10800.0,10800.0,0.0,88.2346843788959,221.51579572666432,0.0
2025-02-01,5,0:40-0:50,0.4271,458.5126990701784,424.4105833333333,0.0,0.0,525.9565365701784,0.0,0.0,67.44383749999997,67.44383749999997,10800.0,10800.0,0.0,101.5459532368451,224.6360367691232,0.0
2025-02-01,6,0:50-1:00,0.4285,487.2351086177076,406.0516666666666,0.0,0.0,554.6789461177076,0.0,0.0,67.44383749999997,67.44383749999997,10800.0,10800.0,0.0,148.62727945104098,237.67992841143771,0.0
2025-02-01,7,1:00-1:10,0.4311,480.8834926898117,436.7501833333333,0.0,0.0,548.3273301898116,0.0,0.0,67.44383749999992,67.44383749999997,10800.0,10800.0,0.0,111.5771468564783,236.38391204482778,0.0
2025-02-01,8,1:10-1:20,0.4302,464.8032430160994,451.7976833333333,0.0,0.0,532.2470805160993,0.0,0.0,67.44383749999997,67.44383749999997,10800.0,10800.0,0.0,80.44939718276606,228.97269403802596,0.0
2025-02-01,9,1:20-1:30,0.4279,465.44509501753845,446.08,0.0,0.0,533.3925325175385,0.0,0.0,67.94743750000004,67.94743749999998,10800.0,10800.0,0.0,87.3125325175385,228.2386646642547,0.0
2025-02-01,10,1:30-1:40,0.4312,481.5160949890539,471.7663333333333,0.0,0.0,551.2995699890539,0.0,0.0,69.78347500000001,69.78347500000007,10800.0,10800.0,0.0,79.5332366557206,237.72037457928005,0.0
2025-02-01,11,1:40-1:50,0.4333,493.4690992621015,448.02596666666665,0.0,0.0,563.4262742621015,0.0,0.0,69.957175,69.957175,10800.0,10800.0,0.0,115.40030759543487,244.1326046377686,0.0
2025-02-01,12,1:50-2:00,0.4311,490.12287573483275,397.4033333333333,0.0,0.0,560.3041924014996,0.0,0.0,70.18131666666682,70.18131666666682,10800.0,10800.0,0.0,162.90085906816626,241.54713734428645,0.0
2025-02-01,13,2:00-2:10,0.4293,479.9679380436446,434.0906333333333,0.0,0.0,550.1492547103114,0.0,0.0,70.18131666666682,70.18131666666682,10800.0,10800.0,0.0,116.05862137697812,236.1790750471367,0.0
2025-02-01,14,2:10-2:20,0.4324,490.18461969772363,490.5609166666666,0.0,0.0,560.3659363643904,0.0,0.0,70.18131666666682,70.18131666666682,10800.0,10800.0,0.0,69.80501969772382,242.30223088396244,0.0
2025-02-01,15,2:20-2:30,0.4367,509.4461187162055,503.22,0.0,0.0,581.5432603828722,0.0,0.0,72.09714166666669,72.09714166666674,10800.0,10800.0,0.0,78.32326038287215,253.95994180920027,0.0
2025-02-01,16,2:30-2:40,0.4348,499.6725040931701,474.07281666666665,0.0,0.0,569.0397290931702,0.0,0.0,69.36722500000008,69.36722500000008,10800.0,10800.0,0.0,94.96691242650354,247.4184742097104,0.0
2025-02-01,17,2:40-2:50,0.4335,508.33034516463164,461.38439999999997,0.0,0.0,577.1230618312984,0.0,0.0,68.79271666666676,68.7927166666667,10800.0,10800.0,0.0,115.73866183129843,250.18284730386785,0.0
2025-02-01,18,2:50-3:00,0.4357,532.1800780444631,476.94166666666666,0.0,0.0,597.19549471113,0.0,0.0,65.01541666666685,65.01541666666685,10800.0,10800.0,0.0,120.25382804446332,260.1980770456393,0.0
2025-02-01,19,3:00-3:10,0.4374,520.8446174092564,483.39955,0.0,0.0,585.8600340759233,0.0,0.0,65.01541666666685,65.01541666666685,10800.0,10800.0,0.0,102.46048407592332,256.2551789048089,0.0
2025-02-01,20,3:10-3:20,0.4371,510.66118132483086,486.6019166666666,0.0,0.0,572.1261271581642,0.0,0.0,61.46494583333333,61.46494583333333,10800.0,10800.0,0.0,85.52421049149757,250.07633018083357,0.0
2025-02-01,21,3:20-3:30,0.4356,511.6074016164265,498.84833333333336,0.0,0.0,576.6228182830934,0.0,0.0,65.01541666666685,65.01541666666685,10800.0,10800.0,0.0,77.77448494976,251.17689964411545,0.0
2025-02-01,22,3:30-3:40,0.4353,502.5338772296258,518.3097333333333,0.0,0.0,569.785385562959,0.0,0.0,67.25150833333328,67.25150833333328,10800.0,10800.0,0.0,51.47565222962578,248.0275783355561,0.0
2025-02-01,23,3:40-3:50,0.436,512.9029457218159,509.13346666666666,0.0,0.0,584.0086665551493,0.0,0.0,71.10572083333341,71.10572083333341,10800.0,10800.0,0.0,74.8751998884826,254.62777861804508,0.0
2025-02-01,24,3:50-4:00,0.4378,534.4997328606684,483.6166666666666,0.0,0.0,610.4741773051128,0.0,0.0,75.97444444444443,75.97444444444443,10800.0,10800.0,0.0,126.85751063844617,267.2655948241784,0.0
2025-02-01,25,4:00-4:10,0.4401,526.3578407595878,491.1868,0.0,0.0,602.3322852040322,0.0,0.0,75.97444444444443,75.97444444444443,10800.0,10800.0,0.0,111.14548520403224,265.0864387182946,0.0
2025-02-01,26,4:10-4:20,0.4389,528.0731900874767,504.64528333333334,0.0,0.0,604.0476345319212,0.0,0.0,75.97444444444443,75.97444444444443,10800.0,10800.0,0.0,99.40235119858784,265.1165067960602,0.0
2025-02-01,27,4:20-4:30,0.4364,546.8380017457238,505.57833333333326,0.0,0.0,622.8124461901682,0.0,0.0,75.97444444444443,75.97444444444443,10800.0,10800.0,0.0,117.23411285683494,271.7953515173894,0.0
2025-02-01,28,4:30-4:40,0.4393,543.2834412109681,503.23096666666663,0.0,0.0,620.2580245443014,0.0,0.0,76.97458333333327,76.97458333333327,10800.0,10800.0,0.0,117.02705787763477,272.47935018231163,0.0
2025-02-01,29,4:40-4:50,0.4422,527.2170548248091,502.84698333333336,0.0002794213521446632,0.00023333333333333333,604.1913587367902,0.0,0.0,76.97458333333327,76.97458333333327,10800.0,10800.0,0.0,101.34460873679019,267.1734188334086,0.0
2025-02-01,30,4:50-5:00,0.4395,519.6497399107703,499.64166666666665,0.0,0.0,594.1046940774369,0.0,0.0,74.45495416666654,74.45495416666654,10800.0,10800.0,0.0,94.46302741077022,261.1090130470335,0.0
2025-02-01,31,5:00-5:10,0.4333,537.3872231005058,488.78358333333335,0.0,0.0,602.9057147671724,0.0,0.0,65.51849166666659,65.51849166666659,10800.0,10800.0,0.0,114.12213143383906,261.23904620861583,0.0
2025-02-01,32,5:10-5:20,0.4439,557.5694495130535,498.51875,0.003862120143338294,0.0033166666666666665,629.7843362024339,0.0,0.0,72.21874880952373,72.21874880952377,10800.0,10800.0,0.0,131.26890286910057,279.56126684026043,0.0
2025-02-01,33,5:20-5:30,0.4301,567.070041445283,529.2233333333334,0.0,0.0,644.9573692230608,0.0,0.0,77.88732777777784,77.88732777777778,10800.0,10800.0,0.0,115.73403588972747,277.3961645028385,0.0
2025-02-01,34,5:30-5:40,0.3713,569.5992600584788,547.4103166666666,0.0,0.0,658.8177386299072,0.0,0.0,89.21847857142848,89.2184785714285,10800.0,10800.0,0.0,111.40742196324061,244.61902635328457,0.0
2025-02-01,35,5:40-5:50,0.5708,552.2428856351806,531.2274,0.053742484429314834,0.04623333333333333,646.3853931507514,0.0,0.0,94.19625000000008,94.19625000000008,10800.0,10800.0,0.0,115.20422648408473,368.95678241044885,0.0
2025-02-01,36,5:50-6:00,0.9099,538.027840009679,510.98333333333335,0.0,0.0,0.0,0.0,646.9053400096791,108.87750000000005,108.87750000000005,10800.0,10081.216288878135,0.0,135.92200667634575,0.0,0.0
2025-02-01,37,6:00-6:10,0.9368,553.1908020369722,535.1871833333332,0.0,0.0,0.0,0.0,679.2874687036389,126.09666666666669,126.09666666666669,10081.216288878135,9326.452434762981,0.0,144.10028537030564,0.0,0.0
2025-02-01,38,6:10-6:20,0.8758,559.9600664270693,533.9993499999999,0.7485582410962476,0.6440166666666667,0.0,0.0,695.425533185973,136.214025,136.214025,9326.452434762981,8553.757397889678,0.0,162.0701998526397,0.0,0.0
2025-02-01,39,6:20-6:30,0.8759,548.6190218212366,504.52,0.0,0.0,0.0,0.0,695.8378718212366,147.21884999999997,147.21884999999997,8553.757397889678,7780.604206977193,0.0,191.31787182123662,0.0,0.0
2025-02-01,40,6:30-6:40,0.8601,550.9479913361886,519.5536833333333,0.0,0.0,0.0,0.0,686.655074669522,135.70708333333346,135.70708333333343,7780.604206977193,7017.654124011057,0.0,167.10139133618873,0.0,0.0
