date,t,interval,initial_purchase_kwh,final_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,load_kwh,pv_kwh,soc_before_kwh,soc_after_kwh,actual_price_yuan_kwh,forecast_price_yuan_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,0,0:00-0:10,537.6216771686668,537.6216771686668,0.0,0.0,0.0,422.0303666666667,0.0,10800.0,10800.0,0.3281,0.3281,176.39367227903958,0.0,0.0,176.39367227903958
2025-02-01,1,0:10-0:20,528.4938912066266,528.4938912066266,0.0,0.0,0.0,415.4073166666667,0.0,10800.0,10800.0,0.3257,0.31377395493208576,172.13046036599826,0.0,0.0,172.13046036599826
2025-02-01,2,0:20-0:30,525.0241974356828,525.0241974356828,0.0,0.0,0.0,410.7166666666667,0.0,10800.0,10800.0,0.3041,0.26753677272741855,159.65985844019113,0.0,0.0,159.65985844019113
2025-02-01,3,0:30-0:40,536.6331623607108,536.6331623607108,0.0,0.0,0.0,430.29479999999995,0.0,10800.0,10800.0,0.3126,0.2899336731075648,167.7515265539582,0.0,0.0,167.7515265539582
2025-02-01,4,0:40-0:50,550.9851258346656,550.9851258346656,0.0,0.0,0.0,424.4105833333333,0.0,10800.0,10800.0,0.3286,0.33041807876205026,181.0537123492711,0.0,0.0,181.0537123492711
2025-02-01,5,0:50-1:00,559.8345351308564,559.8345351308564,0.0,0.0,0.0,406.0516666666667,0.0,10800.0,10800.0,0.3438,0.34768634049265174,192.4711131779884,0.0,0.0,192.4711131779884
2025-02-01,6,1:00-1:10,563.3230548541426,563.3230548541426,0.0,0.0,0.0,436.7501833333333,0.0,10800.0,10800.0,0.3704,0.3484616980722528,208.65485951797442,0.0,0.0,208.65485951797442
2025-02-01,7,1:10-1:20,558.0516249708635,558.0516249708635,0.0,0.0,0.0,451.7976833333333,0.0,10800.0,10800.0,0.3746,0.33780269389550127,209.04613871408546,0.0,0.0,209.04613871408546
2025-02-01,8,1:20-1:30,551.086988345834,551.086988345834,0.0,0.0,0.0,446.08,0.0,10800.0,10800.0,0.3606,0.3343299291815574,198.72196799750773,0.0,0.0,198.72196799750773
2025-02-01,9,1:30-1:40,555.630066865565,555.630066865565,0.0,0.0,0.0,471.7663333333333,0.0,10800.0,10800.0,0.3582,0.3550304850619869,199.0266899512454,0.0,0.0,199.0266899512454
2025-02-01,10,1:40-1:50,564.0315467105179,564.0315467105179,0.0,0.0,0.0,448.02596666666665,0.0,10800.0,10800.0,0.3041,0.3557945089447187,171.52199335466847,0.0,0.0,171.52199335466847
2025-02-01,11,1:50-2:00,573.0827820314062,573.0827820314062,0.0,0.0,0.0,397.40333333333336,0.0,10800.0,10800.0,0.2537,0.33389279346744427,145.39110180136774,0.0,0.0,145.39110180136774
2025-02-01,12,2:00-2:10,586.630580553526,586.630580553526,0.0,0.0,0.0,434.0906333333333,0.0,10800.0,10800.0,0.3346,0.3324013536077972,196.2865922532098,0.0,0.0,196.2865922532098
2025-02-01,13,2:10-2:20,597.6429693087296,597.6429693087296,0.0,0.0,0.0,490.5609166666666,0.0,10800.0,10800.0,0.3971,0.3504323207034997,237.32402311249652,0.0,0.0,237.32402311249652
2025-02-01,14,2:20-2:30,596.6197375090296,596.6197375090296,0.0,0.0,0.0,503.22,0.0,10800.0,10800.0,0.367,0.3659499919080068,218.95944366581386,0.0,0.0,218.95944366581386
2025-02-01,15,2:30-2:40,580.4426384041706,580.4426384041706,0.0,0.0,0.0,474.0728166666667,0.0,10800.0,10800.0,0.3185,0.3565821465861724,184.87098033172833,0.0,0.0,184.87098033172833
2025-02-01,16,2:40-2:50,569.4385436990597,569.4385436990597,0.0,0.0,0.0,461.38439999999997,0.0,10800.0,10800.0,0.3285,0.33735500611441516,187.06056160514112,0.0,0.0,187.06056160514112
2025-02-01,17,2:50-3:00,575.071655545607,575.071655545607,0.0,0.0,0.0,476.94166666666666,0.0,10800.0,10800.0,0.3772,0.3372453380526142,216.91702847180295,0.0,0.0,216.91702847180295
2025-02-01,18,3:00-3:10,591.7021539775616,591.7021539775616,0.0,0.0,0.0,483.39955000000003,0.0,10800.0,10800.0,0.3815,0.3697708036368352,225.73437174243975,0.0,0.0,225.73437174243975
2025-02-01,19,3:10-3:20,604.4203929528024,604.4203929528024,0.0,0.0,0.0,486.6019166666667,0.0,10800.0,10800.0,0.3822,0.37135505363567184,231.00947418656108,0.0,0.0,231.00947418656108
2025-02-01,20,3:20-3:30,602.230019182749,602.230019182749,0.0,0.0,0.0,498.84833333333336,0.0,10800.0,10800.0,0.3962,0.3478258496250153,238.60353360020514,0.0,0.0,238.60353360020514
2025-02-01,21,3:30-3:40,588.577968866703,588.577968866703,0.0,0.0,0.0,518.3097333333334,0.0,10800.0,10800.0,0.3879,0.3652832313056008,228.30939412339413,0.0,0.0,228.30939412339413
2025-02-01,22,3:40-3:50,598.1435120360151,598.1435120360151,0.0,0.0,0.0,509.13346666666666,0.0,10800.0,10800.0,0.3405,0.3788140069395148,203.66786584826315,0.0,0.0,203.66786584826315
2025-02-01,23,3:50-4:00,621.8150185659415,621.8150185659415,0.0,0.0,0.0,483.6166666666666,0.0,10800.0,10800.0,0.3164,0.3697416715531871,196.7422718742639,0.0,0.0,196.7422718742639
2025-02-01,24,4:00-4:10,616.327902571122,616.327902571122,0.0,0.0,0.0,491.1868,0.0,10800.0,10800.0,0.3916,0.36801506917289684,241.35400664685136,0.0,0.0,241.35400664685136
2025-02-01,25,4:10-4:20,606.9875895099985,606.9875895099985,0.0,0.0,0.0,504.64528333333334,0.0,10800.0,10800.0,0.4109,0.3774192523949617,249.4112005296584,0.0,0.0,249.4112005296584
2025-02-01,26,4:20-4:30,615.2585417058217,615.2585417058217,0.0,0.0,0.0,505.5783333333333,0.0,10800.0,10800.0,0.361,0.3901131250822626,222.10833355580164,0.0,0.0,222.10833355580164
2025-02-01,27,4:30-4:40,634.5971713372691,634.5971713372691,0.0,0.0,0.0,503.2309666666667,0.0,10800.0,10800.0,0.3799,0.3963959270602471,241.08346539102854,0.0,0.0,241.08346539102854
2025-02-01,28,4:40-4:50,634.5238115159106,634.5238115159106,0.0,0.0,0.0,502.84698333333336,0.00023333333333333333,10800.0,10800.0,0.4094,0.3974845259052388,259.77404843461375,0.0,0.0,259.77404843461375
2025-02-01,29,4:50-5:00,621.9685725361429,621.9685725361429,0.0,0.0,0.0,499.64166666666665,0.0,10800.0,10800.0,0.4052,0.3947842799041604,252.0216655916451,0.0,0.0,252.0216655916451
2025-02-01,30,5:00-5:10,631.8217859457333,631.8217859457333,0.0,0.0,0.0,488.78358333333335,0.0,10800.0,10800.0,0.3896,0.39072972926978905,246.15776780445768,0.0,0.0,246.15776780445768
2025-02-01,31,5:10-5:20,639.452122538231,639.452122538231,0.0,0.0,0.0,498.51875,0.003316666666666667,10800.0,10800.0,0.3908,0.3998206078359496,249.8978894879407,0.0,0.0,249.8978894879407
2025-02-01,32,5:20-5:30,633.6613385095791,633.6613385095791,0.0,0.0,0.0,529.2233333333334,0.0,10800.0,10800.0,0.3821,0.38411894818821224,242.12199744451016,0.0,0.0,242.12199744451016
2025-02-01,33,5:30-5:40,635.4490882550886,635.4490882550886,0.0,0.0,0.0,547.4103166666666,0.0,10800.0,10800.0,0.3475,0.3320060838590678,220.81855816864325,0.0,0.0,220.81855816864325
2025-02-01,34,5:40-5:50,676.8105411714942,676.8105411714942,0.0,0.0,0.0,531.2274,0.04623333333333333,10800.0,10800.0,0.5182,0.5371164692712482,350.72322243506824,0.0,0.0,350.72322243506824
2025-02-01,35,5:50-6:00,731.9891861916153,731.9891861916153,0.0,0.0,0.0,510.98333333333335,0.0,10800.0,10800.0,0.8102,0.8781134969201811,593.0576386524467,0.0,0.0,593.0576386524467
2025-02-01,36,6:00-6:10,1.04788299028462,0.0,0.0,620.4459695120677,0.0,535.1871833333333,0.0,10800.0,10110.615589431036,0.8756,0.8756,0.9175263462932134,0.4587631731466067,0.0,1.3762895194398201
2025-02-01,37,6:10-6:20,737.1054872460929,737.1054872460929,119.47749292515107,0.0,0.0,533.9993499999999,0.6440166666666667,10110.615589431036,10218.145333063672,0.818,0.8687568480147305,602.952288567304,0.0,0.0,602.952288567304
2025-02-01,38,6:20-6:30,740.4234681837581,740.4234681837581,119.47749292515107,0.0,0.0,504.52,0.0,10218.145333063672,10325.675076696309,0.7708,0.8790563607961723,570.7184092760408,0.0,0.0,570.7184092760408
2025-02-01,39,6:30-6:40,735.3158710949248,735.3158710949248,119.47749292515107,0.0,0.0,519.5536833333333,0.0,10325.675076696309,10433.204820328945,0.7715,0.856787731696522,567.2961945497344,0.0,0.0,567.2961945497344
2025-02-01,40,6:40-6:50,757.2808881376116,686.9211160715155,49.117720859065955,0.0,0.0,566.415,14.934916666666666,10433.204820328945,10477.410769102093,0.8181,0.8549181816683422,619.5314945853801,28.7806647636366,0.0,648.3121593490167
2025-02-01,41,6:50-7:00,792.1174986454926,792.1174986454926,119.47749292515107,0.0,0.0,608.7916666666666,56.75,10477.410769102093,10584.940512734725,0.8678,0.8798649847282833,687.3995653245585,0.0,0.0,687.3995653245585
2025-02-01,42,7:00-7:10,787.8723349571372,787.8723349571372,119.47749292515107,0.0,0.0,617.2140499999999,102.656,10584.940512734725,10692.470256367362,0.864,0.8734996046885901,680.7216974029666,0.0,0.0,680.7216974029666
