紧急购电时段,紧急购电量/kWh
0:20-0:30,35.74555225986205
1:00-1:30,43.62712233406182
2:30-2:50,24.708725000453228
3:00-3:40,83.5049222709739
4:40-5:20,55.088482055485926
5:40-6:10,32.24092209476987
6:40-6:50,4.250275125590633
8:00-9:20,207.47315216609496
9:40-10:00,66.92026349685307
11:10-11:40,52.34977793837561
12:30-12:50,71.1089612968999
13:10-13:20,2.417187062652829
15:20-16:50,276.56334841568685
18:40-19:10,63.46288469543481
20:00-20:20,27.953061184982744
21:20-21:30,13.328131970602044
23:30-23:50,40.91116575163835
