date,period,time,price,initial_grid,grid,charge,discharge,soc,actual_load,actual_pv,emergency,surplus
2025-02-01,1,0:00-0:10,0.4248,1370.9550105019998,1370.9550105019998,833.3333333333328,0.0,1950.000000000001,422.0303666666667,0.0,0.0,115.5913105020004
2025-02-01,2,0:10-0:20,0.4245,1361.8272245399598,1361.8272245399598,833.3333333333333,0.0,2700.000000000001,415.4073166666667,0.0,0.0,113.08657453995988
2025-02-01,3,0:20-0:30,0.4269,1358.3575307690162,1358.3575307690162,833.3333333333333,0.0,3450.000000000001,410.7166666666667,0.0,0.0,114.30753076901624
2025-02-01,4,0:30-0:40,0.4272,1369.966495694044,1369.966495694044,833.3333333333333,0.0,4200.000000000001,430.29479999999995,0.0,0.0,106.33836236071079
2025-02-01,5,0:40-0:50,0.4271,1384.3184591679988,1384.3184591679988,833.3333333333333,0.0,4950.000000000001,424.4105833333333,0.0,0.0,126.57454250133219
2025-02-01,6,0:50-1:00,0.4285,1393.1678684641897,1393.1678684641897,833.3333333333334,0.0,5700.000000000001,406.0516666666666,0.0,0.0,153.78286846418973
2025-02-01,7,1:00-1:10,0.4311,1229.9897215208082,1229.9897215208082,666.6666666666656,0.0,6300.0,436.7501833333333,0.0,0.0,126.57287152080926
2025-02-01,8,1:10-1:20,0.4302,1391.3849583041967,1391.3849583041967,833.3333333333333,0.0,7050.0,451.7976833333333,0.0,0.0,106.25394163753026
2025-02-01,9,1:20-1:30,0.4279,1384.420321679167,1384.420321679167,833.3333333333331,0.0,7800.0,446.08,0.0,0.0,105.00698834583386
2025-02-01,10,1:30-1:40,0.4312,555.630066865565,555.630066865565,0.0,0.0,7800.0,471.7663333333333,0.0,0.0,83.86373353223172
2025-02-01,11,1:40-1:50,0.4333,564.0315467105177,564.0315467105177,0.0,0.0,7800.0,448.02596666666665,0.0,0.0,116.00558004385101
2025-02-01,12,1:50-2:00,0.4311,1406.4161153647394,1406.4161153647394,833.3333333333333,0.0,8550.0,397.4033333333333,0.0,0.0,175.67944869807275
2025-02-01,13,2:00-2:10,0.4293,1419.963913886859,1419.963913886859,833.3333333333333,0.0,9300.0,434.0906333333333,0.0,0.0,152.53994722019252
2025-02-01,14,2:10-2:20,0.4324,597.6429693087296,597.6429693087296,0.0,0.0,9300.0,490.5609166666666,0.0,0.0,107.08205264206293
2025-02-01,15,2:20-2:30,0.4367,596.6197375090296,596.6197375090296,0.0,0.0,9300.0,503.22,0.0,0.0,93.39973750902959
2025-02-01,16,2:30-2:40,0.4348,580.4426384041706,580.4426384041706,0.0,0.0,9300.0,474.07281666666665,0.0,0.0,106.36982173750391
2025-02-01,17,2:40-2:50,0.4335,569.4385436990597,569.4385436990597,0.0,0.0,9300.0,461.38439999999997,0.0,0.0,108.0541436990597
2025-02-01,18,2:50-3:00,0.4357,575.0716555456069,575.0716555456069,0.0,0.0,9300.0,476.94166666666666,0.0,0.0,98.1299888789402
2025-02-01,19,3:00-3:10,0.4374,591.7021539775615,591.7021539775615,0.0,0.0,9300.0,483.39955,0.0,0.0,108.30260397756149
2025-02-01,20,3:10-3:20,0.4371,604.4203929528024,604.4203929528024,0.0,0.0,9300.0,486.6019166666666,0.0,0.0,117.81847628613582
2025-02-01,21,3:20-3:30,0.4356,602.2300191827488,602.2300191827488,0.0,0.0,9300.0,498.84833333333336,0.0,0.0,103.38168584941548
2025-02-01,22,3:30-3:40,0.4353,588.5779688667028,588.5779688667028,0.0,0.0,9300.0,518.3097333333333,0.0,0.0,70.26823553336953
2025-02-01,23,3:40-3:50,0.436,598.1435120360151,598.1435120360151,0.0,0.0,9300.0,509.13346666666666,0.0,0.0,89.0100453693484
2025-02-01,24,3:50-4:00,0.4378,621.8150185659415,621.8150185659415,0.0,0.0,9300.0,483.6166666666666,0.0,0.0,138.19835189927488
2025-02-01,25,4:00-4:10,0.4401,616.327902571122,616.327902571122,0.0,0.0,9300.0,491.1868,0.0,0.0,125.14110257112196
